86.245.37.244 - - [11/Jan/2017:10:27:02 +0000] "GET /assets/js/main.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:02 +0000] "GET /images/pic02.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:02 +0000] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:02 +0000] "GET /images/overlay.png HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:02 +0000] "GET /images/bg.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "POST / HTTP/1.1" 200 11152
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "GET /assets/css/main.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "GET /assets/js/util.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "GET /assets/js/main.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:36 +0000] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:37 +0000] "GET /images/pic02.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:37 +0000] "GET /images/overlay.png HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:27:37 +0000] "GET /images/bg.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:29:31 +0000] "GET / HTTP/1.1" 200 11152
86.245.37.244 - - [11/Jan/2017:10:29:31 +0000] "GET /assets/css/main.css HTTP/1.1" 200 32628
86.245.37.244 - - [11/Jan/2017:10:29:31 +0000] "GET /images/pic02.jpg HTTP/1.1" 200 8904
86.245.37.244 - - [11/Jan/2017:10:29:31 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 200 9085
86.245.37.244 - - [11/Jan/2017:10:29:32 +0000] "GET /assets/js/util.js HTTP/1.1" 200 12433
86.245.37.244 - - [11/Jan/2017:10:29:32 +0000] "GET /assets/css/font-awesome.min.css HTTP/1.1" 200 29063
86.245.37.244 - - [11/Jan/2017:10:29:32 +0000] "GET /assets/js/main.js HTTP/1.1" 200 8801
86.245.37.244 - - [11/Jan/2017:10:29:31 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 200 95957
86.245.37.244 - - [11/Jan/2017:10:29:34 +0000] "GET /images/overlay.png HTTP/1.1" 200 4385
86.245.37.244 - - [11/Jan/2017:10:29:34 +0000] "GET /images/bg.jpg HTTP/1.1" 200 37864
86.245.37.244 - - [11/Jan/2017:10:29:34 +0000] "GET /assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
86.245.37.244 - - [11/Jan/2017:10:31:27 +0000] "POST / HTTP/1.1" 200 11175
86.245.37.244 - - [11/Jan/2017:10:31:27 +0000] "GET /assets/css/main.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:31:27 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:31:27 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:10:31:27 +0000] "GET /assets/js/util.js HTTP/1.1" 304 -
